visit_date,number_of_visits,username,store_name,delivery_days,wh,gcu,barangay,city,long,lat,store_profile,last_delivered_date,has_tried_elista,delivered_order_ids,delivered_categories,bakit hindi umorder si customer?,latest_order_status,cancellation_reason,no_delivered_orders,bucket
,,ss240306u55289,Nilda Store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9783034,10.3800569,Non Key Account,2026-03-16,No,,,,delivered,,0,Churned (60+ Days)
,,ss240308u16964,Ayres Stoere,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9728513,10.3793777,Non Key Account,2024-04-26,No,,,,delivered,,0,Churned (60+ Days)
,,ss240308u52072,Tess Store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9702518,10.386315,Non Key Account,2024-07-26,No,,,,delivered,,0,Churned (60+ Days)
,,ss240309u35368,Online store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9751716,10.379878,Non Key Account,2024-03-25,No,,,,delivered,,0,Churned (60+ Days)
,,ss240309u79424,Stacey sari sari store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9836754,10.3933941,Non Key Account,2024-04-15,No,,,,delivered,,0,Churned (60+ Days)
,,ss240406u72212,Dome,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.97835875,10.38266983,Non Key Account,2026-04-13,No,,,,delivered,,0,P30D No Delivery (NKA)
,,ss240407u91942,Fawix Store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9719322,10.3829186,Non Key Account,2026-04-17,No,,,,delivered,,0,P30D No Delivery (NKA)
,,ss240408u67113,EMMA STORE ,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9674626,10.3841844,Non Key Account,2024-07-05,No,,,,delivered,,0,Churned (60+ Days)
,,ss240417u79946,Aballe,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.969612,10.3840841,Non Key Account,2024-08-23,No,,,,delivered,,0,Churned (60+ Days)
,,ss240421u43963,MY STORE ,"Monday, Wednesday, Friday",CB,CB02,San Vicente,Liloan,123.9811299,10.3957902,Non Key Account,2026-03-06,No,,,,delivered,,0,Churned (60+ Days)
,,ss240423u11386,Annie's store ,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9716943,10.3826159,Non Key Account,2025-01-31,No,,,,delivered,,0,Churned (60+ Days)
,,ss240510u16851,Tindahan ni MARYETA ,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9773793,10.3949546,Non Key Account,2024-06-24,No,,,,delivered,,0,Churned (60+ Days)
,,ss240527u59866,Emma's carenderia,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9687975,10.3887045,Non Key Account,2024-06-07,No,,,,delivered,,0,Churned (60+ Days)
